row_index,active,max_z,max_run_sec,auc,mean_over_baseline,prominence,n_peaks
789,0,4.590097824630036,2.0,-15.857419617440305,-0.26523058306157504,1.9206635855845566,8.0
790,1,4.4107318622319776,5.0,10.920271222305837,0.17875577242457405,2.151423483514998,7.0
791,0,5.238421598799909,4.0,-49.72801883455944,-0.8289088325980674,1.8238860932284453,5.0
792,0,2.803267153567689,2.0,-17.25778596939528,-0.2811076436091217,2.142518682299543,17.0
793,0,5.0398776030400185,3.0,-49.99467887372566,-0.8170011032433775,1.6784866674546288,5.0
794,0,5.934514476906208,3.0,-46.54399141860138,-0.7735542214057158,2.220878722697179,10.0
795,0,5.446342188591927,3.0,-56.34167545649694,-0.9399978337736858,2.6225627172847124,8.0
796,0,4.200227161209884,3.0,-24.760563882925997,-0.40464500391408403,1.4847990579177677,8.0
797,1,3.710825058890286,10.0,-35.51503385260757,-0.5932056527401384,1.1676359830983583,4.0
798,0,5.088593802968246,2.0,-40.431871396375115,-0.6731045098553045,1.6536592189800712,10.0
799,0,4.815373452611456,2.0,-21.17783126881777,-0.3552141245949134,1.8354395278580806,9.0
800,0,3.573700850686579,3.0,-46.4957215749749,-0.7651910544641244,1.6588518327637818,4.0
801,0,3.981316571726801,2.0,-11.162184519655852,-0.18953218485046153,2.015844653388035,10.0
802,0,4.987492785868409,2.0,-40.807188051060294,-0.6785489933982681,1.9434931214999045,7.0
803,0,5.03621665601117,3.0,-38.94833272209393,-0.6372717630396508,0.6805817890447003,4.0
804,0,3.407770750141842,2.0,-25.816943493403397,-0.4247152853100015,1.4075884034391957,10.0
805,0,4.012005282102132,2.0,-23.37523794961029,-0.3875047312705937,1.5472661778963075,6.0
806,0,4.195366779547647,3.0,-29.99505068756767,-0.49669259392992915,1.060853715163511,8.0
807,0,3.8384016533092007,2.0,-25.906948273822692,-0.43436877598855256,1.6755000280381904,7.0
808,0,4.152473099499174,2.0,-22.94887831042768,-0.38058811949958865,1.7535285915934464,7.0
809,0,3.5216339016613034,4.0,-25.720845047356665,-0.42442335006272897,1.2997094526286608,7.0
810,0,5.520042133276731,2.0,-16.60091743754423,-0.27435533842187204,1.7502930303977167,7.0
811,0,5.098709535159801,4.0,-39.753563566838835,-0.6515055835244654,0.4358290646839371,3.0
812,0,4.918661273146884,4.0,-39.752098187046634,-0.6651446824508834,2.2063473080454226,6.0
813,0,4.219696375535482,2.0,5.997529443337209,0.0975650437191871,1.8460081579864043,8.0
814,0,4.038950252661009,2.0,-17.908438069602507,-0.29935467549310785,1.614620982876159,6.0
815,0,3.3118829206309974,2.0,-34.754986061943484,-0.5703133889868534,1.4861303049752341,10.0
816,0,4.7936846572688525,4.0,-16.475757803164516,-0.27701377242601966,1.9793859982205466,6.0
817,0,3.3019888336370125,2.0,-42.13365812096624,-0.7094291027311841,2.8621360601859616,16.0
818,0,3.9732624326122767,4.0,-42.88490941163051,-0.7038229174587474,1.0526277506905564,10.0
819,0,4.823572640008923,2.0,-18.58891426415512,-0.3043941451558823,1.880864886026526,7.0
820,0,3.3214147908734577,3.0,5.867855351670287,0.09431657677730686,1.6882814364477632,9.0
821,0,4.170654288097851,2.0,-18.088768758813924,-0.30323587941300156,1.4272837686472353,6.0
822,0,3.7440778459563298,3.0,-5.780109883144607,-0.09405334764079949,1.7427374611663342,5.0
823,0,3.5133391048361227,3.0,-25.22803991438538,-0.4132197886216125,1.562975847121269,7.0
824,1,4.638962212352047,5.0,107.48652399443907,1.9398864595316287,3.383148838067651,12.0
825,1,3.6953227420087735,9.0,49.84788730362595,0.8727875163037566,2.437447058088913,11.0
826,1,2.6952432823786716,5.0,37.923844076999174,0.6448403202423543,4.786289765193004,14.0
827,0,5.596721338197418,2.0,2.454082720610384,0.04108469124557477,2.943865385327361,7.0
828,0,2.9705916586386967,3.0,7.223685668338307,0.12439058801894783,2.7641508885767934,15.0
829,1,2.120032781708725,12.0,100.96067859582588,1.6517235138970743,5.955723138438079,19.0
830,1,2.654233817740338,5.0,7.951991888547424,0.14436672581417762,2.4019849038506202,14.0
831,0,5.024251250157502,3.0,-20.282565051423337,-0.3303961173808987,0.5662578152766549,3.0
832,1,3.2457290314225657,11.0,73.34810551217342,1.279682134493498,4.90187451027958,11.0
833,1,2.806896654746331,6.0,58.77007319672244,0.9906061294966862,5.7168345642027845,12.0
834,0,5.8823131623223075,4.0,24.55439652888629,0.40126492757638293,6.254233987633197,17.0
835,1,2.4663571702678215,5.0,72.17205360469212,1.2028330101757219,3.094468474696608,16.0
836,1,2.1875264992625145,9.0,21.10518379827578,0.34871809955156374,1.6638869921616983,14.0
837,0,3.4825642506683767,4.0,52.04505226652979,0.8610330287408563,4.40518686842777,12.0
838,0,2.458336776521357,4.0,-22.584626232748448,-0.3742541572980214,2.8325825900944537,13.0
839,1,2.042943835641865,11.0,79.25683274015636,1.33389470394193,2.302307829054082,16.0
840,0,3.267099025415707,2.0,3.673792151535163,0.05616306508019964,1.4677190693607862,17.0
841,0,3.2504785290516636,3.0,-2.4476668959591774,-0.04190273387721707,1.9615032914151604,15.0
842,1,4.4013752156996455,5.0,3.687380552012411,0.058066637524472796,2.5037491239604988,8.0
843,1,2.0298671387078433,13.0,271.9898473969821,4.478326631384883,10.341669715924233,11.0
844,0,2.1937311575102934,3.0,70.6239407975305,1.1695550510819073,3.5729103971715848,19.0
845,1,2.392632928264442,14.0,121.15803158727724,1.9984555590350894,6.993804858916858,12.0
846,1,2.3576819765791717,12.0,155.45749422378793,2.5443091098112767,15.4414973555912,10.0
847,0,3.7847849259115574,2.0,-0.5379441179850568,-0.016966652339232967,2.9452998492997455,13.0
848,0,3.8914695855465435,3.0,-0.4368358283113858,-0.010879268408850165,1.5071533056676039,16.0
849,1,3.786322661506593,8.0,39.9607278069842,0.6654473733451841,3.236181792401714,17.0
850,0,2.793151841289532,4.0,-14.473589382662414,-0.2414111810696176,2.0106721570228556,19.0
851,1,2.471212935589347,11.0,557.1185942664124,9.2935328783671,29.10475388327107,15.0
852,0,2.5302172499548345,2.0,33.15262436567664,0.5564218281800591,2.0443194198576604,16.0
853,0,1.9722445446249817,3.0,84.28842819689271,1.408821126879554,1.7859334943709468,15.0
854,0,2.7543226172355455,3.0,29.2274115475318,0.4884680116525836,2.013451395971316,17.0
855,0,3.342047086284059,2.0,28.814754492867348,0.47146887713987473,3.010241192777474,17.0
856,0,2.9882253422159737,4.0,-16.317585867272978,-0.2702535277830653,1.9953523006229634,15.0
857,1,2.50195117883183,5.0,-23.155939925615368,-0.38595719781843385,2.516569283157221,15.0
858,1,1.9394627025321352,7.0,106.23069235349392,1.7514789299911284,3.109710379606896,15.0
859,1,2.1046476411563897,8.0,66.55096018050058,1.1106001469985474,2.566875118560874,15.0
860,0,5.841772411689481,3.0,2.5090014410256902,0.03833113478913624,3.355119165030715,8.0
861,1,1.9648418980755717,7.0,25.41860887011926,0.4304622655684518,2.580513356824334,21.0
862,1,1.895886709273956,10.0,112.61655342453997,1.8394588822714761,6.949924029136126,15.0
863,1,3.3393984650078488,6.0,67.71954965689129,1.1504691929405753,7.091688463489572,11.0
864,0,2.809768029287632,4.0,36.192940173479286,0.5941861533615078,3.043866480517125,13.0
865,0,4.179528365344989,2.0,13.663518642139813,0.22128486518655513,3.6275057604846546,21.0
866,1,5.680216927200014,6.0,11.59304667493024,0.18934725842423183,3.6269497485335167,3.0
867,0,4.654628853097501,2.0,9.897177876002605,0.1610793803571948,2.510714753404328,12.0
868,0,3.6380493607206263,4.0,24.241679373255018,0.4036831743282859,2.8743684875755435,19.0
869,0,3.784964664553839,3.0,10.849959660503888,0.18436964954603133,3.258028756204681,18.0
870,0,2.8787076477808045,3.0,18.35396690046308,0.30294378414390744,1.7999391468359307,20.0
871,0,2.235093432561078,3.0,33.70204514565987,0.5550671262327587,2.1376685347415134,17.0
872,0,4.624898919443609,2.0,-3.285339909415465,-0.058476169330221504,1.9275540765055768,13.0
